https://www.youtube.com/watch?v=nXiaKLEJl2o	SN1 vs SN2 Practice Examples (vid 2 of 2) by Leah4sci
https://www.youtube.com/watch?v=j3kporh4foo	E1 Reaction Rate and Mechanism - Unimolecular beta-elimination (vid 1 of 3) by Leah4sci
https://www.youtube.com/watch?v=Gna9dmf_UZ0	E1 Reaction (vid 2 of 3) Zaitsev's Rule and Pi Bond Stability by Leah4sci
https://www.youtube.com/watch?v=dB8JrzVJqDA	E1 (vid 3 of 3) Unimolecular Beta Elimination With Hydride Shift and Zaitsev's Rule
https://www.youtube.com/watch?v=6rOvDEaBU7Y	E2 Reaction Rate & Mechanism (vid 1 of 4) Bimolecular Beta-Elimination by Leah Fisch
https://www.youtube.com/watch?v=SkSgbH5kAD4	E2 Reaction (vid 2 of 4) Using Newman Projections To Predict Products by Leah4sci
https://www.youtube.com/watch?v=JrI3ZuLsKHI	E2 reaction (vid 3 of 4) using chair conformations for anti coplanar reactions
https://www.youtube.com/watch?v=HP8Iz4_QP2A	E2 Reaction (vid 4 of 4) Big Bulky Base for Anti-Zaitsev Product
https://www.youtube.com/watch?v=JVBuvalXpYA	Practice SN1 SN2 E1 or E2 Mechanism Given Reactant and Product
https://www.youtube.com/watch?v=QSztChmDY44	Spectroscopy Introduction: Using NMR, IR, and Mass Spec in Organic Chemistry
https://www.youtube.com/watch?v=k0eR8YqcA8c	Proton NMR - How To Analyze The Peaks Of H-NMR Spectroscopy
https://www.youtube.com/watch?v=OrvAUDgVoT8	Proton NMR Spectroscopy Peak Analysis Using C3H7Cl
https://www.youtube.com/watch?v=8o2K-kVNAJs	H-NMR Example Matching The Molecule To The Graph
https://www.youtube.com/watch?v=sKApzcRZAuI	H-NMR Example (cont) Matching The Molecule To The Spectroscopy Graph
https://www.youtube.com/watch?v=YKieO7eS9-M	How To Create An Organic Chemistry Pre-Finals Study Calendar
https://www.youtube.com/watch?v=zmfSieL01HU	Intro to Orgo Mechanisms Nucleophilic Attack and Loss of Leaving Group
https://www.youtube.com/watch?v=A7w3RvF5i80	Proton Transfer and Rearrangement Mechanisms in Organic Chemistry
https://www.youtube.com/watch?v=vUtUxjyJKXE	Organic Chemistry Reaction Mechanism Pattern Examples
https://www.youtube.com/watch?v=1mhcLO8LLoI	Polarimetry - Intro to Optical Activity in Stereochemistry
https://www.youtube.com/watch?v=5Z2GppIZHFI	Enantiomeric Excess Percent Optical Purity Calculations and Logic
https://www.youtube.com/watch?v=UtM-F2zlgmw	Cyclohexane Ring Flip and Boat Conformation
https://www.youtube.com/watch?v=cLocr2vjs98	How to Use your Organic Chemistry Model Kit
https://www.youtube.com/watch?v=jzdYqLO9OY8	Specific Rotation and Observed Rotation Calculations in Optical Activity
https://www.youtube.com/watch?v=3osMo_Jr0o8	How to Prepare for Your Upcoming Organic Chemistry Semester
https://www.youtube.com/watch?v=plFvh2gW5iw	Pencil Trick for Primary, Secondary, Tertiary, & Quaternary Carbon and other Atoms
https://www.youtube.com/watch?v=9XaS93WMRQQ	Zombie
https://www.youtube.com/watch?v=QKuGbZph8Ok	E Z Geometric Isomers for Alkenes
https://www.youtube.com/watch?v=VkCRNwx5dbs	Introduction to Alkyne Reactions in Organic Chemistry
https://www.youtube.com/watch?v=E9wmU0uGL78	Acid Base Equilibrium Practice - Organic Chemistry
https://www.youtube.com/watch?v=A1rl3c8lVsk	How to Draw Cyclohexane Chair Conformations and Ring Flips
https://www.youtube.com/watch?v=8cC-4e7zZYI	Chirality and Stereochemistry Practice Problems
https://www.youtube.com/watch?v=AQmZrC7Mgs8	Markovnikov’s Rule vs Anti-Markovnikov in Alkene Addition Reactions
https://www.youtube.com/watch?v=UZs5rDIDovY	SN1 Reaction Energy Diagram
https://www.youtube.com/watch?v=2Gq0lCHrHgU	Functional Groups Practice for Organic Chemistry
https://www.youtube.com/watch?v=3PTqV6J7Eq0	IUPAC Naming Practice - Nomenclature for alkanes, dienes, alcohols and more
https://www.youtube.com/watch?v=jtAeNI02bzs	E1 Reaction Coordinate Energy Diagram
https://www.youtube.com/watch?v=H0wgZeM_sMA	Quick Organic Chemistry 1 Reactions Review - Alkene Alkyne Radical Substitution Elimination
https://www.youtube.com/watch?v=PRbercrBTos	Organic Chemistry Professors Expect You Remember This From General Chemistry
https://www.youtube.com/watch?v=Q3CULuxnUis	Enantiomers, Diastereomers and Meso Compounds: Multiple Chiral Centers
https://www.youtube.com/watch?v=k4JX32SK21c	Hydride Shift vs Methyl Shift - Carbocation Rearrangement
